C_1,C_2,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,w8,w6,w4,w10,w1,w0,nf8,nf6,nf4,nf10,nf1,nf0,l8,l6,l4,l10,l1,l0,gdc,idd,gbw,pm

0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.46E-5,3.31E-5,1.24E-5,7.3999999999999995E-6,7.5E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.1E-7,9.200000000000001E-7,9.3E-7,8.8E-7,3.5E-7,6.1E-7,50.783,3.4554E-4,6.3914E7,61.706
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.64E-5,3.1599999999999996E-5,1.15E-5,8.9E-6,8.73E-5,5.0,7.0,5.0,3.0,3.0,1.0,9.399999999999999E-7,9.399999999999999E-7,9.3E-7,8.6E-7,3.7E-7,7.1E-7,51.864,3.0237E-4,5.2044E7,61.726
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.86E-5,3.31E-5,1.25E-5,8.5E-6,8.8E-5,5.0,7.0,5.0,3.0,3.0,1.0,9.4E-7,9.4E-7,9.4E-7,9.3E-7,3.6E-7,6.800000000000001E-7,51.748,3.1218E-4,5.537E7,60.795
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.389999999999999E-5,3.5999999999999994E-5,1.56E-5,7.2E-6,6.56E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.399999999999999E-7,9.399999999999999E-7,9.3E-7,7.599999999999999E-7,3.5E-7,6.1E-7,50.342,3.303E-4,6.1196E7,65.142
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.52E-5,3.5999999999999994E-5,1.36E-5,7.2999999999999996E-6,7.75E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.1E-7,9.399999999999999E-7,9.000000000000001E-7,8.9E-7,3.4E-7,6.6E-7,51.499,3.3067E-4,6.0361E7,62.29
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.539999999999999E-5,3.5999999999999994E-5,1.18E-5,7.2999999999999996E-6,6.73E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.3E-7,9.399999999999999E-7,9.3E-7,8.8E-7,3.5E-7,6.2E-7,50.877,3.2842E-4,6.0494E7,64.847
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.41E-5,2.99E-5,1.23E-5,7.2999999999999996E-6,6.549999999999999E-5,5.0,7.0,5.0,1.0,3.0,1.0,9.3E-7,9.399999999999999E-7,9.000000000000001E-7,8.499999999999999E-7,3.7E-7,7.2E-7,52.187,2.941E-4,5.0134E7,65.564
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,9.02E-5,2.98E-5,1.0700000000000001E-5,7.599999999999999E-6,7.24E-5,5.0,8.0,5.0,5.0,3.0,1.0,9.399999999999999E-7,9.399999999999999E-7,9.399999999999999E-7,8.8E-7,3.7E-7,6.2E-7,51.004,3.2166E-4,5.8823E7,61.988
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.719999999999999E-5,2.9599999999999998E-5,1.82E-5,7.2E-6,6.759999999999999E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.3E-7,9.399999999999999E-7,9.4E-7,7.5E-7,3.7E-7,5.900000000000001E-7,50.127,3.4249E-4,6.3522E7,61.874
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.539999999999999E-5,3.53E-5,1.38E-5,7.2999999999999996E-6,7.649999999999999E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.1E-7,9.3E-7,9.1E-7,8.9E-7,3.3E-7,6.699999999999999E-7,51.669,3.0441E-4,5.4533E7,65.06
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.989999999999999E-5,2.98E-5,1.9299999999999998E-5,7.599999999999999E-6,7.96E-5,5.0,7.0,5.0,5.0,3.0,1.0,9.4E-7,9.3E-7,9.4E-7,7.5E-7,3.7E-7,7.3E-7,51.802,2.9947E-4,5.1728E7,60.548
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.14E-5,2.11E-5,1.06E-5,5.4E-6,3.3199999999999994E-5,3.0,5.0,7.0,3.0,3.0,3.0,9.3E-7,9.000000000000001E-7,8.0E-7,9.200000000000001E-7,6.0E-7,6.9E-7,52.407,3.303E-4,5.7318E7,61.747
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.14E-5,2.12E-5,1.06E-5,5.4E-6,3.3199999999999994E-5,3.0,5.0,7.0,3.0,3.0,3.0,9.399999999999999E-7,8.9E-7,8.0E-7,9.1E-7,5.900000000000001E-7,6.9E-7,52.389,3.2334E-4,5.6191E7,62.391
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.979999999999999E-5,2.24E-5,1.0700000000000001E-5,4.0E-6,3.649999999999999E-5,3.0,7.0,5.0,3.0,5.0,3.0,9.3E-7,8.499999999999999E-7,8.6E-7,9.1E-7,4.1E-7,6.800000000000001E-7,52.37,3.2668E-4,5.8137E7,62.346
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.159999999999999E-5,1.96E-5,8.5E-6,4.0E-6,3.369999999999999E-5,3.0,7.0,7.0,3.0,3.0,1.0,9.399999999999999E-7,9.200000000000001E-7,8.8E-7,9.1E-7,3.8999999999999997E-7,6.9E-7,52.556,2.7358E-4,4.6314E7,69.34
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.209999999999999E-5,2.21E-5,1.13E-5,3.3999999999999996E-6,3.5499999999999996E-5,3.0,5.0,7.0,3.0,1.0,3.0,9.200000000000001E-7,9.000000000000001E-7,9.000000000000001E-7,9.1E-7,4.2E-7,6.6E-7,52.364,3.3139E-4,6.0107E7,61.422
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.389999999999999E-5,2.37E-5,1.86E-5,5.0999999999999995E-6,4.3599999999999996E-5,3.0,7.0,5.0,5.0,5.0,3.0,9.3E-7,9.1E-7,8.499999999999999E-7,9.200000000000001E-7,4.3E-7,7.3E-7,52.526,3.1192E-4,5.3713E7,62.117
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.46E-5,2.9199999999999998E-5,1.61E-5,4.9999999999999996E-6,7.79E-5,3.0,3.0,5.0,3.0,1.0,1.0,9.4E-7,8.8E-7,8.4E-7,9.399999999999999E-7,3.0E-7,6.499999999999999E-7,52.335,2.8521E-4,5.5554E7,62.423
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.39E-5,6.5999999999999995E-6,4.6E-6,6.35E-5,1.0,3.0,3.0,3.0,1.0,1.0,9.399999999999999E-7,9.3E-7,9.000000000000001E-7,8.499999999999999E-7,3.1E-7,6.2E-7,51.968,3.3588E-4,6.6202E7,61.685
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.39E-5,6.799999999999999E-6,4.2E-6,6.369999999999999E-5,1.0,3.0,3.0,3.0,1.0,1.0,9.399999999999999E-7,9.3E-7,9.3E-7,8.8E-7,3.1E-7,7.8E-7,53.987,3.0447E-4,5.519E7,60.858
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.62E-5,2.63E-5,4.7E-6,3.5999999999999994E-6,6.34E-5,3.0,3.0,1.0,3.0,1.0,1.0,8.9E-7,9.4E-7,9.4E-7,9.200000000000001E-7,3.0E-7,8.4E-7,55.222,2.6142E-4,4.5297E7,61.201
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.62E-5,2.7799999999999998E-5,5.299999999999999E-6,4.399999999999999E-6,6.5E-5,5.0,3.0,3.0,3.0,1.0,1.0,8.9E-7,9.200000000000001E-7,8.699999999999999E-7,9.000000000000001E-7,3.1E-7,6.3E-7,52.537,3.1186E-4,6.0675E7,61.307
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.039999999999999E-5,2.52E-5,4.2999999999999995E-6,3.3999999999999996E-6,6.19E-5,3.0,1.0,3.0,3.0,1.0,1.0,9.000000000000001E-7,9.200000000000001E-7,9.200000000000001E-7,9.3E-7,3.0E-7,8.6E-7,55.421,2.5966E-4,4.4774E7,60.673
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.259999999999999E-5,3.14E-5,6.4E-6,4.6E-6,6.35E-5,5.0,3.0,3.0,3.0,1.0,1.0,9.000000000000001E-7,9.399999999999999E-7,8.699999999999999E-7,9.1E-7,3.1E-7,5.8E-7,51.564,3.4267E-4,6.9095E7,61.474
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.929999999999999E-5,3.0E-5,1.52E-5,4.399999999999999E-6,6.72E-5,5.0,3.0,1.0,3.0,1.0,1.0,8.8E-7,9.000000000000001E-7,9.200000000000001E-7,9.4E-7,3.0E-7,6.2E-7,52.116,3.2886E-4,6.4323E7,61.029
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.039999999999999E-5,2.52E-5,1.0E-5,3.3999999999999996E-6,6.19E-5,3.0,3.0,5.0,3.0,1.0,1.0,9.000000000000001E-7,9.1E-7,9.200000000000001E-7,8.8E-7,3.0E-7,8.5E-7,55.022,2.6455E-4,4.5884E7,60.592
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,7.63E-5,2.7099999999999998E-5,1.13E-5,3.9E-6,6.62E-5,3.0,5.0,3.0,3.0,1.0,1.0,9.4E-7,9.200000000000001E-7,9.200000000000001E-7,8.8E-7,3.0E-7,7.7E-7,53.945,2.6754E-4,4.8845E7,61.873
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,8.329999999999999E-5,2.86E-5,4.9E-6,3.4999999999999995E-6,6.11E-5,3.0,3.0,1.0,3.0,1.0,1.0,9.1E-7,9.399999999999999E-7,9.3E-7,9.200000000000001E-7,3.0E-7,8.2E-7,54.954,2.7387E-4,4.9505E7,60.346
